#,Nome Attivita,Categoria,Indirizzo,Telefono,Instagram,Email,Voto,Priorita,Fonte,Canale Contatto,Data 1 Contatto,Risposta,Stato,Follow-up,Note
1,Macelleria Fracassetti,Macelleria / Bottega,"Via Gombito 13, 24129 Bergamo",+39 035244056,Assente,macelleriafracassetti.it,5,ALTA,Google Maps + web,WhatsApp/telefono,15/06/2026,DA INVIARE,CONTATTATO,Script WhatsApp pronti (outreach-macelleria-fracassetti.md). ANGOLAZIONE: miglioramento + Instagram. Sito esistente macelleriafracassetti.it. 74 anni attività.,"74 anni (dal 1952). Bottega: vini, salumi, formaggi, carne. Nota: lead research originale diceva 'nessun sito' — ora HA sito. Angolazione: miglioramento + Instagram."
2,Macelleria Santini,Macelleria + Gastronomia,"Via Giulio Crescenzi 61, 24123 Bergamo",035218288,@macelleriaegastronomiasantinii,,5,ALTA,Google Maps + IG,Email: macelleriasantini@hotmail.it / Tel: 333 324 6347,IG DM / Email / Telefono,15/06/2026,CONTATTATO,IN ATTESA DI CANALE,"Script pronti. Tentati: IG DM (nessuna sessione), WhatsApp Web (Chrome update richiesto), Email (himalaya non installato). Alternative: email macelleriasantini@hotmail.it, mobile 333 324 6347."
3,Panificio Vanotti,Panificio artigianale,"Via Ghislandi 1, 24125 Bergamo",035 237487,@panificiovanotti,,4,ALTA,Google Maps + IG,Telefono (035 237487),15/06/2026,DA INVIARE,CONTATTATO,"Script telefono pronti (t_5c5ad733/lead-info.md). IG DM non disponibile — telefono è canale alternativo. Nessun sito, IG sporadico.","Nessun sito, IG scarsa attività. Orario: 7:30-14:00 / 16:00-19:00 Lun-Ven, Sab 7:30-13:30."
4,Trattoria D'Ambrosio,Ristorante / Trattoria,Bergamo,Info su sito,Assente,Da sito,4,MEDIA,Google Maps,Email da sito,28/06/2026,,CONTATTATO,DA CONTATTARE,
5,Dolci di Bea,Pasticceria / Bar,Bergamo,,@dolci_di_bea,,4,MEDIA,Google Maps + IG,IG DM,28/06/2026,,CONTATTATO,DA CONTATTARE,
6,Art Atelier,Parrucchiere,"Via Giuseppe Garibaldi 12, Bergamo",Telefono su Maps,@art.atelier.bergamo,,4,MEDIA,Google Maps + IG,IG DM / Telefono,28/06/2026,,CONTATTATO,DA CONTATTARE,
7,La Dolce Vita Hair Spa,Parrucchiere / Hair Spa,"Via Martiri di Cefalonia 4b, Bergamo",Info su sito,Assente,,3,MEDIA,Google Maps,Sito web / Telefono,28/06/2026,,CONTATTATO,DA CONTATTARE,
8,Osteria della Dogana,Ristorante / Osteria,Bergamo,,Assente,FB Messenger,4,MEDIA,Google Maps,FB Messenger,,,,DA CONTATTARE,
9,Pasticceria Salvi,Pasticceria storica,Bergamo,,@pasticceriasalvi,,4,MEDIA,Google Maps + IG,IG DM / Telefono,28/06/2026,,CONTATTATO,DA CONTATTARE,
10,Italian Concept Bergamo,Parrucchiere,Bergamo,,@italian_concept_bergamo,,4,MEDIA,Google Maps + IG,IG DM,,,,DA CONTATTARE,
11,Comari,Macelleria / Spaccio carni,Celadina, Bergamo,Info su sito,Da sito,4,MEDIA,Google Maps,Telefono / Email,,,,DA CONTATTARE,
12,CEnERE Forno,Panificio / Forno,"Via Borgo Palazzo 108/A, Bergamo",,@cenereforno,,3,BASSA,Google Maps + IG,IG DM,,,,DA CONTATTARE,
13,Yari Panzeri Parrucchieri,Parrucchiere,Bergamo,,@yaripanzeriparrucchieri,,3,BASSA,Google Maps + IG,IG DM,,,,DA CONTATTARE,
14,Panificio Italo Tresoldi,Panificio,Bergamo (4 punti vendita),,@panificio_italo_tresoldi,,3,BASSA,Google Maps + IG,IG DM,,,,DA CONTATTARE,
15,Macelleria Da Carlo,Macelleria,Bergamo,Info su sito,Da verificare,,3,BASSA,Google Maps,Sito web,,,,DA CONTATTARE,
16,Commizzoli Luigi,Panificio,"Via Vanzago 2, Cornaredo",02 9362579,Assente (no IG),,4,ALTA,Google Maps,Telefono / WhatsApp,28/06/2026,,CONTATTATO,PREPARATO,
17,L'Angolo del Pane Distasi,Panificio artigianale,"Via Garibaldi 128, 20010 Cornaredo (MI)",02 93560609,Non rilevato,,4,ALTA,Kanban task,Telefono (02 93560609),15/06/2026,PREPARATO,CONTATTATO,,"Script pronti (telefono + SMS follow-up). Nessun sito, nessun social. Cornaredo (MI)."
18,Macelleria Fasan Claudio,Macelleria,"Via Garibaldi 134, 20010 Cornaredo (MI)",02 9362029,Assente,Assente,5,ALTA,Google Maps + web,Telefono / WhatsApp,15/06/2026,DA INVIARE,CONTATTATO,"Script pronti (telefono + WhatsApp). Nessun sito, nessun IG.",Nessun sito
